mode,h1_start,h1_end,h2_start,h2_end,h3_start,h3_end,l1_start,l1_end,l2_start,l2_end,l3_start,l3_end,pdb_name,processed_path,raw_path,num_chains,quaternary_category,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration,loop_info_dir
ab,25.0,31.0,51.0,56.0,98.0,110.0,145.0,155.0,171.0,177.0,210.0,218.0,6ute_C_D_S,/home/psh/data/train/meta/6ute_C_D_S.pkl,/home/psh/data/train/pdb/6ute_C_D_S.pdb,3,heteromer,327,327,0.437308868501529,0.0458715596330275,0.5168195718654435,2.134324841863924,
ab,25.0,31.0,51.0,56.0,98.0,108.0,140.0,150.0,166.0,172.0,205.0,213.0,4qci_H_L_C,/home/psh/data/train/meta/4qci_H_L_C.pkl,/home/psh/data/train/pdb/4qci_H_L_C.pdb,3,heteromer,316,316,0.4367088607594936,0.050632911392405,0.5126582278481012,2.4196672713342773,
ab,24.0,30.0,50.0,55.0,97.0,101.0,136.0,146.0,162.0,168.0,201.0,209.0,6okm_H_L_R,/home/psh/data/train/meta/6okm_H_L_R.pkl,/home/psh/data/train/pdb/6okm_H_L_R.pdb,3,heteromer,330,330,0.5212121212121212,0.0363636363636363,0.4424242424242424,2.116831365070603,
ab,25.0,31.0,51.0,56.0,98.0,111.0,146.0,156.0,172.0,178.0,211.0,219.0,1bj1_K_J_V,/home/psh/data/train/meta/1bj1_K_J_V.pkl,/home/psh/data/train/pdb/1bj1_K_J_V.pdb,3,heteromer,324,324,0.3919753086419753,0.074074074074074,0.5339506172839507,2.5134745878266056,
ab,25.0,31.0,51.0,55.0,97.0,106.0,141.0,151.0,167.0,173.0,206.0,216.0,6dfi_H_L_E,/home/psh/data/train/meta/6dfi_H_L_E.pkl,/home/psh/data/train/pdb/6dfi_H_L_E.pdb,3,heteromer,329,329,0.4620060790273556,0.0273556231003039,0.5106382978723404,2.18310358379031,
ab,25.0,31.0,51.0,56.0,98.0,110.0,145.0,155.0,171.0,177.0,210.0,217.0,6p50_H_L_C,/home/psh/data/train/meta/6p50_H_L_C.pkl,/home/psh/data/train/pdb/6p50_H_L_C.pdb,3,heteromer,318,318,0.4591194968553459,0.0377358490566037,0.5031446540880503,2.107574021184605,
ab,24.0,31.0,51.0,56.0,98.0,110.0,145.0,155.0,171.0,177.0,210.0,221.0,5b71_D_C_F,/home/psh/data/train/meta/5b71_D_C_F.pkl,/home/psh/data/train/pdb/5b71_D_C_F.pdb,3,heteromer,324,324,0.4783950617283951,0.0185185185185185,0.5030864197530864,2.1380971757608305,
ab,25.0,31.0,51.0,56.0,98.0,110.0,145.0,155.0,171.0,177.0,210.0,217.0,1tzh_H_L_V,/home/psh/data/train/meta/1tzh_H_L_V.pkl,/home/psh/data/train/pdb/1tzh_H_L_V.pdb,3,heteromer,322,322,0.391304347826087,0.0745341614906832,0.5341614906832298,2.519728422105189,
ab,25.0,31.0,51.0,56.0,98.0,108.0,143.0,157.0,173.0,179.0,212.0,220.0,3bdy_H_L_V,/home/psh/data/train/meta/3bdy_H_L_V.pkl,/home/psh/data/train/pdb/3bdy_H_L_V.pdb,3,heteromer,326,326,0.3987730061349693,0.0613496932515337,0.5398773006134969,2.5612874985495755,
ab,24.0,30.0,50.0,55.0,97.0,102.0,137.0,147.0,163.0,169.0,202.0,210.0,5ikc_H_L_N,/home/psh/data/train/meta/5ikc_H_L_N.pkl,/home/psh/data/train/pdb/5ikc_H_L_N.pdb,3,heteromer,311,311,0.4790996784565916,0.0932475884244373,0.427652733118971,2.0721626569464724,
ab,25.0,31.0,51.0,56.0,98.0,110.0,145.0,155.0,171.0,177.0,210.0,218.0,5dmi_H_L_A,/home/psh/data/train/meta/5dmi_H_L_A.pkl,/home/psh/data/train/pdb/5dmi_H_L_A.pdb,3,heteromer,327,327,0.5749235474006116,0.0275229357798165,0.3975535168195718,2.18141249297981,
ab,25.0,31.0,51.0,56.0,98.0,105.0,140.0,156.0,172.0,178.0,211.0,219.0,4bz1_H_L_A,/home/psh/data/train/meta/4bz1_H_L_A.pkl,/home/psh/data/train/pdb/4bz1_H_L_A.pdb,3,heteromer,326,326,0.4294478527607362,0.0460122699386503,0.5245398773006135,2.094856795828861,
